                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.248,                 4.5043,                 2.4259,                0.16598,                 0.1933,                0.20566,                0.05655,                 2.1924,                 4.1759,                  2.675,                 0.0991,                 0.0001,                 0.0001
                      1,                 2.0857,                 4.1692,                 2.3015,                0.10922,                  0.125,                0.14125,                0.03997,                 2.2928,                 3.9748,                  2.759,               0.097294,             0.00029406,             0.00029406
                      2,                 2.2167,                 4.1409,                 2.2898,                 0.1174,                   0.25,                 0.1237,                0.03601,                 2.1445,                  3.901,                 2.6991,                0.09548,              0.0004802,              0.0004802
                      3,                 2.0142,                 3.8165,                 2.2635,                 0.3196,                0.24914,                0.37317,                 0.0784,                 2.1542,                 3.7904,                 2.6043,               0.093658,             0.00065842,             0.00065842
                      4,                 2.0683,                 3.5477,                 2.2546,                0.01654,                    0.5,                0.26527,                0.04681,                 1.9046,                 3.5788,                 2.2818,               0.091829,             0.00082872,             0.00082872
                      5,                  2.007,                 3.1436,                  2.173,                0.78011,                  0.125,                0.23708,                0.05062,                 2.0224,                 3.4033,                  2.435,               0.089991,              0.0009911,              0.0009911
                      6,                  1.928,                 2.9309,                 2.1286,                0.90987,                  0.125,                0.21988,                0.05743,                 1.8099,                 3.4626,                 2.2725,               0.088146,              0.0011456,              0.0011456
                      7,                 1.9074,                 2.8407,                  2.193,                0.65438,                   0.25,                  0.288,                0.12103,                 1.7025,                 3.2976,                 2.1286,               0.086292,              0.0012921,              0.0012921
                      8,                 1.7876,                 2.4748,                 2.0363,                 0.8087,                  0.125,                0.25791,                0.12919,                 1.7837,                 3.2996,                 2.1944,               0.084431,              0.0014307,              0.0014307
                      9,                 1.6501,                  2.564,                 1.8675,                0.28793,                  0.375,                0.29132,                0.15501,                 1.8143,                 3.0942,                 2.1559,               0.082561,              0.0015614,              0.0015614
                     10,                 1.6479,                 2.3193,                 2.0857,                0.67055,                0.36481,                0.47079,                0.22789,                 2.0154,                 2.8398,                 2.2698,               0.080684,              0.0016842,              0.0016842
                     11,                 1.5951,                 2.1072,                 1.7629,                0.72712,                    0.5,                0.52232,                0.21994,                 1.8548,                 2.6303,                 2.2386,               0.078799,              0.0017991,              0.0017991
                     12,                 1.6886,                 2.2156,                 2.0408,                0.54866,                    0.5,                0.47495,                0.29632,                 1.6513,                 2.3453,                 2.1082,               0.076906,               0.001906,               0.001906
                     13,                 1.4628,                 2.0162,                 1.8408,                    0.5,                0.48302,                0.52796,                 0.3468,                 1.5981,                  2.203,                 2.0082,               0.075005,               0.002005,               0.002005
                     14,                 1.5758,                 1.9756,                 1.8087,                    0.5,                0.47333,                0.53093,                0.34648,                 1.6524,                 2.2165,                 1.9867,               0.073096,              0.0020961,              0.0020961
                     15,                 1.4289,                 1.5775,                 1.7282,                    0.5,                 0.4879,                0.63017,                0.34341,                 1.7444,                 1.9999,                 1.9062,               0.071179,              0.0021793,              0.0021793
                     16,                 1.4496,                 1.7016,                 1.7781,                0.37015,                0.60919,                0.51872,                0.29502,                 1.7365,                 2.2221,                 1.9225,               0.069255,              0.0022546,              0.0022546
                     17,                 1.4434,                 1.5874,                 1.6793,                0.49081,                    0.5,                0.54767,                0.31902,                 1.8141,                 2.1302,                 2.0121,               0.067322,              0.0023219,              0.0023219
                     18,                 1.6011,                 1.6901,                 1.8727,                    0.5,                0.49099,                0.54866,                0.31751,                 1.7139,                  2.051,                 1.9438,               0.065381,              0.0023813,              0.0023813
